tempo,tec_anom
2024-04-04 00:00:00,-10.423667570009034
2024-04-04 00:10:00,-10.757000903342366
2024-04-04 00:20:00,-10.97922312556459
2024-04-04 00:30:00,-10.97922312556459
2024-04-04 00:40:00,-9.757000903342366
2024-04-04 00:50:00,-7.868112014453478
2024-04-04 01:00:00,-4.664859981933153
2024-04-04 01:10:00,-5.220415537488709
2024-04-04 01:20:00,-4.9981933152664855
2024-04-04 01:30:00,-5.9981933152664855
2024-04-04 01:40:00,-6.220415537488709
2024-04-04 01:50:00,-6.775971093044264
2024-04-04 02:00:00,-4.754742547425473
2024-04-04 02:10:00,-4.9769647696476955
2024-04-04 02:20:00,-5.6436314363143625
2024-04-04 02:30:00,-5.9769647696476955
2024-04-04 02:40:00,-6.199186991869918
2024-04-04 02:50:00,-6.088075880758807
2024-04-04 03:00:00,-3.6779584462511306
2024-04-04 03:10:00,-3.3446251129177966
2024-04-04 03:20:00,-3.1224028906955743
2024-04-04 03:30:00,-3.233514001806686
2024-04-04 03:40:00,-3.566847335140019
2024-04-04 03:50:00,-3.233514001806686
2024-04-04 04:00:00,-1.3355916892502266
2024-04-04 04:10:00,-1.557813911472449
2024-04-04 04:20:00,-1.7800361336946713
2024-04-04 04:30:00,-2.6689250225835597
2024-04-04 04:40:00,-3.0022583559168936
2024-04-04 04:50:00,-3.224480578139115
2024-04-04 05:00:00,-1.6255645889792234
2024-04-04 05:10:00,-1.6255645889792234
2024-04-04 05:20:00,-1.8477868112014457
2024-04-04 05:30:00,-1.2922312556458895
2024-04-04 05:40:00,-1.2922312556458895
2024-04-04 05:50:00,-0.7366757000903341
2024-04-04 06:00:00,-0.2344173441734423
2024-04-04 06:10:00,-0.345528455284553
2024-04-04 06:20:00,-0.012195121951219967
2024-04-04 06:30:00,-0.2344173441734423
2024-04-04 06:40:00,-0.345528455284553
2024-04-04 06:50:00,-0.2344173441734423
2024-04-04 07:00:00,-0.018970189701897233
2024-04-04 07:10:00,-0.13008130081300795
2024-04-04 07:20:00,-0.463414634146341
2024-04-04 07:30:00,-0.24119241192411955
2024-04-04 07:40:00,-0.24119241192411955
2024-04-04 07:50:00,0.09214092140921437
2024-04-04 08:00:00,1.591237579042457
2024-04-04 08:10:00,1.8134598012646794
2024-04-04 08:20:00,1.0356820234869009
2024-04-04 08:30:00,2.035682023486901
2024-04-04 08:40:00,1.591237579042457
2024-04-04 08:50:00,1.4801264679313455
2024-04-04 09:00:00,-0.5112917795844627
2024-04-04 09:10:00,-0.17795844625112966
2024-04-04 09:20:00,-0.06684733514001806
2024-04-04 09:30:00,1.1553748870822043
2024-04-04 09:40:00,2.7109304426377587
2024-04-04 09:50:00,4.266485998193316
2024-04-04 10:00:00,-4.013098464317977
2024-04-04 10:10:00,-2.45754290876242
2024-04-04 10:20:00,-1.124209575429088
2024-04-04 10:30:00,-0.013098464317977232
2024-04-04 10:40:00,1.2091237579042442
2024-04-04 10:50:00,2.54245709123758
2024-04-04 11:00:00,-6.314363143631436
2024-04-04 11:10:00,-4.758807588075879
2024-04-04 11:20:00,-2.314363143631436
2024-04-04 11:30:00,-1.647696476964768
2024-04-04 11:40:00,-0.2032520325203251
2024-04-04 11:50:00,1.6856368563685642
2024-04-04 12:00:00,-5.934959349593502
2024-04-04 12:10:00,-3.6016260162601696
2024-04-04 12:20:00,-2.9349593495934982
2024-04-04 12:30:00,-1.6016260162601696
2024-04-04 12:40:00,-0.9349593495934982
2024-04-04 12:50:00,-0.7127371273712768
2024-04-04 13:00:00,-9.108401084010843
2024-04-04 13:10:00,-8.997289972899736
2024-04-04 13:20:00,-7.6639566395664005
2024-04-04 13:30:00,-6.886178861788622
2024-04-04 13:40:00,-5.6639566395664005
2024-04-04 13:50:00,-4.552845528455286
2024-04-04 14:00:00,-11.165311653116532
2024-04-04 14:10:00,-8.943089430894311
2024-04-04 14:20:00,-6.943089430894311
2024-04-04 14:30:00,-5.498644986449868
2024-04-04 14:40:00,-3.1653116531165324
2024-04-04 14:50:00,-0.38753387533875383
2024-04-04 15:00:00,-2.1811201445347734
2024-04-04 15:10:00,0.48554652213189087
2024-04-04 15:20:00,3.9299909665763337
2024-04-04 15:30:00,5.485546522131891
2024-04-04 15:40:00,6.707768744354119
2024-04-04 15:50:00,7.929990966576334
2024-04-04 16:00:00,5.547877145438129
2024-04-04 16:10:00,7.214543812104786
2024-04-04 16:20:00,8.992321589882572
2024-04-04 16:30:00,9.770099367660343
2024-04-04 16:40:00,10.3256549232159
2024-04-04 16:50:00,11.3256549232159
2024-04-04 17:00:00,10.43360433604336
2024-04-04 17:10:00,11.32249322493226
2024-04-04 17:20:00,12.32249322493226
2024-04-04 17:30:00,12.655826558265588
2024-04-04 17:40:00,12.32249322493226
2024-04-04 17:50:00,13.544715447154474
2024-04-04 18:00:00,16.542005420054203
2024-04-04 18:10:00,14.653116531165317
2024-04-04 18:20:00,14.986449864498645
2024-04-04 18:30:00,13.542005420054203
2024-04-04 18:40:00,11.875338753387531
2024-04-04 18:50:00,9.319783197831974
2024-04-04 19:00:00,15.785456187895214
2024-04-04 19:10:00,12.341011743450764
2024-04-04 19:20:00,8.341011743450764
2024-04-04 19:30:00,6.5632339656729854
2024-04-04 19:40:00,4.22990063233965
2024-04-04 19:50:00,1.8965672990063212
2024-04-04 20:00:00,12.834688346883468
2024-04-04 20:10:00,9.945799457994582
2024-04-04 20:20:00,7.279132791327918
2024-04-04 20:30:00,4.056910569105689
2024-04-04 20:40:00,0.6124661246612462
2024-04-04 20:50:00,-4.609756097560975
