traj,pulso,t,lat,lon,p_hPa,theta_K,AOD
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 12:00:00,-29.5,-52.0,850.0,298.26683433404787,0.11419638825787437
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 06:00:00,-28.934709908561643,-51.87895648234908,862.2502634056515,298.26683433404787,0.06596253671729614
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-03 00:00:00,-28.67682112924637,-52.12924573186383,889.7709879824889,298.26683433404787,0.04255124338855808
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 18:00:00,-27.616838151422318,-52.26761349150549,936.0887753093931,298.26683433404787,0.18487041466208182
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 12:00:00,-27.17649400301399,-52.68395083022733,1000.0,298.26683433404787,0.14543841198404656
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 06:00:00,-26.17651705478842,-52.95428202774122,1000.0,298.26683433404787,0.02729720263543375
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-02 00:00:00,-25.577600604220127,-52.840673423097094,1000.0,298.26683433404787,0.022242662633677066
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-01 18:00:00,-24.996442405441716,-52.8879222658625,1000.0,298.26683433404787,0.01799088546158884
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-01 12:00:00,-24.396064156993408,-53.00339655078467,1000.0,298.26683433404787,0.018436152835266676
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-01 06:00:00,-23.900879629231344,-52.739034040779075,1000.0,298.26683433404787,0.023040104875247283
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-05-01 00:00:00,-23.539033779298897,-52.440373307867645,1000.0,298.26683433404787,0.020279369108404333
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-04-30 18:00:00,-22.97767535740126,-52.35024940217501,1000.0,298.26683433404787,0.0269464670297104
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-04-30 12:00:00,-22.422464290966857,-52.25129076091098,1000.0,298.26683433404787,0.03987496359058278
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-04-30 06:00:00,-21.95526483736674,-52.00884613168031,1000.0,298.26683433404787,0.03887426539409724
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-04-30 00:00:00,-21.52403875037802,-51.57736955449765,1000.0,298.26683433404787,0.0314593825675924
1o_02-06mai_2024-05-03_-29.5_-52.0,1o_02-06mai,2024-04-29 18:00:00,-20.96382627288127,-51.35089397839425,1000.0,298.26683433404787,0.033118042125606345
