quando,n_pixels,Tb_min,Tb_p01,frac_lt40,frac_lt50,frac_lt60,n_frio,BTD_WVIR_med_frio,frac_overshoot,BTD_split_med_frio,BTD_37_10_med_frio,sza,is_dia,onda
2024-04-27 00:00:00,145133,-79.98114013671875,-73.65145874023438,0.25484900057188925,0.2328140395361496,0.1914313078348825,31711,-0.07476806640625,0.9138469300873514,0.6919097900390625,,128.62961765075943,0,O0_precond_27-30abr
2024-04-27 02:00:00,145133,-80.59567260742188,-70.88604736328125,0.2353772057354289,0.20796097372754646,0.1329470210083165,26566,-0.769927978515625,0.8335842806594895,0.747589111328125,,153.23801297560328,0,O0_precond_27-30abr
2024-04-27 04:00:00,145133,-79.98114013671875,-70.14862060546875,0.21297706241860914,0.1807790095980928,0.09237044641811304,21311,-1.384429931640625,0.683684482192295,0.7327880859375,,162.5795413227571,0,O0_precond_27-30abr
2024-04-27 06:00:00,145133,-82.31637573242188,-68.0592041015625,0.21040700598761136,0.17779553926398545,0.08322710892767324,20702,-1.4765625,0.6929282194957009,0.643951416015625,,142.35814835232304,0,O0_precond_27-30abr
2024-04-27 08:00:00,145133,-79.36660766601562,-71.86930847167969,0.22114198700502297,0.19741202896653415,0.12419642672583078,25722,-1.0195770263671875,0.7911515434258611,0.610595703125,,116.69442150874974,0,O0_precond_27-30abr
2024-04-27 10:00:00,145133,-81.51748657226562,-71.74639892578125,0.26149118394851617,0.22372582389945775,0.1324991559466145,27379,-0.88128662109375,0.8058000657438182,0.5835113525390625,,91.04265262074237,0,O0_precond_27-30abr
2024-04-27 12:00:00,145133,-77.46156311035156,-70.88604736328125,0.28982381677495817,0.21908180772119365,0.12336959891961166,25148,-0.7123260498046875,0.8375616351200891,0.562225341796875,,67.3102162621876,1,O0_precond_27-30abr
2024-04-27 14:00:00,145133,-76.47830200195312,-69.3497314453125,0.31308523905658947,0.2569643017094665,0.11978667842599547,27651,-1.00030517578125,0.7994285920943185,0.669769287109375,,49.13180233057819,1,O0_precond_27-30abr
2024-04-27 16:00:00,145133,-78.3218994140625,-68.85809326171875,0.2685261105330972,0.21653931221706987,0.10875541744468867,24872,-0.998382568359375,0.8276375040205854,0.708160400390625,,44.30558105929165,1,O0_precond_27-30abr
2024-04-27 18:00:00,145133,-78.3218994140625,-72.48384094238281,0.2521135785796476,0.2204667442966107,0.1312589142372858,26584,-0.8774261474609375,0.8128949744207041,0.69915771484375,,56.40723031995351,1,O0_precond_27-30abr
2024-04-27 20:00:00,145133,-79.67388916015625,-72.85256958007812,0.27283250535715514,0.24360414240730915,0.16471098923056782,30503,-0.620208740234375,0.831459200734354,0.650909423828125,,77.8365944317966,1,O0_precond_27-30abr
2024-04-27 22:00:00,145133,-81.70184326171875,-73.77435302734375,0.26897397559479924,0.23654854512757265,0.17007158950755513,30245,-0.485687255859375,0.8088940320714167,0.656707763671875,,102.72838030901609,0,O0_precond_27-30abr
2024-04-28 00:00:00,145133,-80.10404968261719,-72.1151123046875,0.2185719305740252,0.18536101369089042,0.12775178629257303,23301,-0.6315765380859375,0.7940860907257199,0.7040863037109375,,128.77755870052928,0,O0_precond_27-30abr
2024-04-28 02:00:00,145133,-80.10404968261719,-71.377685546875,0.1776508443978971,0.14162871297361732,0.09782750993915926,17843,-0.8198394775390625,0.8120271254833829,0.7235107421875,,153.44714465729282,0,O0_precond_27-30abr
2024-04-28 04:00:00,145133,-70.76315307617188,-64.80218505859375,0.1356824430005581,0.1090999290306133,0.05708556978771196,12951,-1.3229217529296875,0.7841093351864721,0.754241943359375,,162.8788215424703,0,O0_precond_27-30abr
2024-04-28 06:00:00,145133,-72.72964477539062,-55.33837890625,0.0745867583526834,0.039219198941660406,0.002962799638951858,1630,-2.3906402587890625,0.27975460122699386,0.8532180786132812,,142.52539622319208,0,O0_precond_27-30abr
2024-04-28 08:00:00,145133,-64.37200927734375,-54.68450927734375,0.03963261284476997,0.021580205742319114,0.0009232910502780208,1319,-2.7132568359375,0.05079605761940864,0.9303131103515625,,116.8395410468706,0,O0_precond_27-30abr
2024-04-28 10:00:00,145133,-69.53408813476562,-59.88591003417969,0.06211543894221162,0.04191327954359105,0.00977723880854113,3596,-2.10833740234375,0.44410456062291437,0.758880615234375,,91.20703254362094,0,O0_precond_27-30abr
2024-04-28 12:00:00,145133,-69.77989196777344,-61.36079406738281,0.09576044042361144,0.05862209146093583,0.01701198211295846,5547,-1.83758544921875,0.5904092302145304,0.74005126953125,,67.52352170914838,1,O0_precond_27-30abr
2024-04-28 14:00:00,145133,-72.238037109375,-59.517181396484375,0.09767592484135242,0.052799845658809505,0.008957301234040501,4047,-1.8836669921875,0.5806770447244872,0.6970062255859375,,49.42026264796269,1,O0_precond_27-30abr
2024-04-28 16:00:00,145133,-72.60675048828125,-59.45573425292969,0.10273335492272605,0.06469927583664639,0.008743704050767227,4473,-1.9105224609375,0.5790297339593115,0.74468994140625,,44.62470618937614,1,O0_precond_27-30abr
2024-04-28 18:00:00,145133,-75.37214660644531,-64.18765258789062,0.13581335740320946,0.09265294591857125,0.026169100066835246,7629,-1.5495758056640625,0.7417748066588019,0.696136474609375,,56.65953013740311,1,O0_precond_27-30abr
2024-04-28 20:00:00,145133,-71.74639892578125,-63.4501953125,0.1729379259024481,0.1253264247276636,0.031536590575541056,10595,-1.4535064697265625,0.7873525247758376,0.60931396484375,,78.02354908957759,1,O0_precond_27-30abr
2024-04-28 22:00:00,145133,-71.25477600097656,-62.7127685546875,0.14960760130363185,0.0823175983408322,0.018438260078686448,6291,-1.44970703125,0.759656652360515,0.62005615234375,,102.88019261571421,0,O0_precond_27-30abr
