datetime,Jz_rms,absJz,nst,Kp_max,Dst_min,aod550_total,aod550_org,aod550_bc,aod550_fumaca
2024-01-01,9.905030926566193,5.661412360652404,9.989473684210527,4.0,-27.0,0.133935,0.07598673,0.0059344857,0.08192121
2024-01-02,7.440910321068678,5.043039078215336,10.336842105263157,2.667,-17.0,0.12980494,0.07299991,0.005501156,0.07850106
2024-01-03,4.458596755097991,3.506139152360573,10.989473684210527,3.333,-22.0,0.12420152,0.0693104,0.005066206,0.074376605
2024-01-04,8.497801501385611,5.272114723796134,10.989473684210527,2.667,-18.0,0.12084215,0.06616738,0.004859751,0.07102713
2024-01-05,5.141842584185498,3.863210240425323,11.494736842105263,2.0,-20.0,0.11394239,0.05834995,0.004637831,0.06298778
2024-01-06,8.099960070672163,5.420413241924862,11.221052631578948,1.0,-12.0,0.11127606,0.056719005,0.0047781104,0.061497115
2024-01-07,5.761386007452305,3.6834895639863205,12.0,0.333,-5.0,0.09994493,0.05514859,0.0049040634,0.060052652
2024-01-08,6.662817733879429,4.8622899756294204,11.989473684210527,2.0,0.0,0.101977035,0.058526672,0.0050995843,0.06362626
2024-01-09,7.449673321966214,4.567163136688815,11.894736842105264,2.333,-1.0,0.11640829,0.06813969,0.006013087,0.074152775
2024-01-10,8.700371900058359,5.638131104795269,11.23157894736842,2.333,-11.0,0.13255163,0.07940541,0.006641398,0.08604681
2024-01-11,7.51661854792697,4.0438249386106895,12.48421052631579,2.0,-18.0,0.14455618,0.08780567,0.007145851,0.094951525
2024-01-12,2.9701042914079507,1.9314034082746312,12.44,1.333,-12.0,0.13591969,0.08168019,0.006650562,0.08833076
2024-01-13,9.617630683631093,6.330157782923358,12.778947368421052,0.667,-6.0,0.1112756,0.0656071,0.005493178,0.07110028
2024-01-14,7.491853471568255,4.805129415200213,12.789473684210526,2.0,-24.0,0.099325776,0.059515774,0.0050001186,0.064515896
2024-01-15,10.598211109770544,6.343844057606476,12.031578947368422,2.333,-13.0,0.09435788,0.0563393,0.0045593586,0.060898658
2024-01-16,11.63228951187684,7.306988497499867,12.989473684210527,2.667,-9.0,0.09778411,0.057824917,0.0046422803,0.062467195
2024-01-17,13.11903592073887,7.991158579975007,12.978947368421053,1.333,-7.0,0.1068919,0.06340719,0.0050182836,0.06842548
2024-01-18,11.070183345288203,7.206953107157823,10.757894736842106,2.333,-14.0,0.116629474,0.0674217,0.0051519237,0.07257362
2024-01-19,8.355763001635065,5.411596087927026,10.873684210526315,2.667,-23.0,0.11723284,0.06678329,0.005228537,0.07201182
2024-01-20,6.044519557108761,4.236592794080407,11.621052631578948,2.333,-13.0,0.11971817,0.06891985,0.005280314,0.07420017
2024-01-21,6.729698115540806,4.971300161118646,10.989473684210527,2.0,-14.0,0.12504877,0.06988223,0.005502049,0.075384274
2024-01-22,8.216353911636082,4.969358091246054,10.68421052631579,3.333,-8.0,0.1256954,0.06800701,0.0055730944,0.0735801
2024-01-23,3.8877048060284736,2.9008475887340244,12.326315789473684,2.667,-11.0,0.12691611,0.06760779,0.0054387017,0.0730465
2024-01-24,5.647721201741024,4.1392954257700385,13.442105263157895,3.333,-15.0,0.12632701,0.06856966,0.00531135,0.073881015
2024-01-25,8.712861138705073,6.589997793226272,11.48421052631579,2.333,-4.0,0.12150042,0.065974474,0.005204345,0.071178816
2024-01-26,4.13560769451313,2.7946345768648024,11.305263157894737,2.0,-8.0,0.12869416,0.070644625,0.0058923005,0.07653692
2024-01-27,6.663511619969509,4.551464198555169,10.0,2.333,-10.0,0.13464502,0.07479811,0.0064508733,0.081248984
2024-01-28,35.783632744454145,14.86778065155643,10.063157894736841,3.0,-10.0,0.144402,0.0819542,0.0074954187,0.08944963
2024-01-29,5.728299884456318,3.8708145303338437,10.0,2.667,-10.0,0.15501384,0.08518718,0.008047821,0.093235
2024-01-30,73.0087712293525,52.18688115061837,9.736842105263158,2.333,-14.0,0.15380314,0.081823416,0.007734646,0.089558065
2024-01-31,16.35353502211054,6.895876142592591,9.926315789473684,2.333,-11.0,0.15498008,0.079471685,0.0072294725,0.08670116
2024-02-01,5.683975259912194,3.630932569317694,10.16842105263158,2.0,-9.0,0.14676327,0.07264181,0.0064626983,0.07910451
2024-02-02,6.968963801268318,4.375708805242092,11.221052631578948,1.0,-7.0,0.12279276,0.060214624,0.005235897,0.06545052
2024-02-03,10.147480359453155,5.598765304632026,11.926315789473684,0.667,-3.0,0.116417676,0.060297333,0.0053569167,0.06565425
2024-02-04,11.005208386642533,6.930978514538368,12.0,3.0,-3.0,0.13328978,0.07362512,0.0065994393,0.08022456
2024-02-05,11.733932372189203,5.614112319830334,11.947368421052632,2.667,2.0,0.14435433,0.080633305,0.006785017,0.08741832
2024-02-06,8.60871582539313,6.073131615943835,11.4,3.0,-12.0,0.13400935,0.0722068,0.005978044,0.07818484
2024-02-07,34.33445161672181,18.370228560543328,11.852631578947369,1.333,-5.0,0.13048272,0.06870557,0.0057264618,0.07443204
2024-02-08,6.813296466580973,5.054335751789988,11.063157894736841,1.667,-10.0,0.13764502,0.073373064,0.00576262,0.079135686
2024-02-09,12.865368194520025,8.400818774993844,11.578947368421053,3.0,-9.0,0.15447265,0.083308145,0.0064523527,0.089760505
2024-02-10,7.5416677625749795,5.517430677309178,12.989473684210527,2.333,5.0,0.16496974,0.08760758,0.006847021,0.0944546
2024-02-11,9.165772432098459,7.157895418516161,12.536842105263158,4.333,-21.0,0.16144216,0.08389537,0.0068738316,0.0907692
2024-02-12,8.092702383633435,6.336931503930401,12.094736842105263,2.333,-15.0,0.15433842,0.07886565,0.0068153706,0.085681014
2024-02-13,27.982414923579004,16.0455286745787,12.031578947368422,3.667,-18.0,0.14857386,0.07221675,0.0058590197,0.07807577
2024-02-14,16.081963240132826,8.380182085391578,11.23157894736842,3.0,-20.0,0.13981667,0.0648154,0.005198853,0.07001425
2024-02-15,8.994311040390288,6.342653639649419,11.48421052631579,1.333,-6.0,0.13593684,0.06433034,0.0052165836,0.06954692
2024-02-16,20.67710294500496,11.419314193648066,11.31578947368421,2.0,-13.0,0.1407395,0.07039489,0.0054925764,0.07588746
2024-02-17,26.23569135322747,12.205071644022224,10.526315789473685,2.0,-15.0,0.1375477,0.07021691,0.0054894383,0.07570635
2024-02-18,5.789751003977316,4.147400160623209,10.663157894736843,3.333,-26.0,0.14265457,0.07429458,0.0056813923,0.07997598
2024-02-19,22.16758747817291,9.362969973309129,9.073684210526316,0.333,-8.0,0.16131309,0.08549263,0.006623852,0.09211649
2024-02-20,5.974845805728425,4.263886433178571,11.936842105263159,2.333,-18.0,0.16064781,0.08584871,0.007806533,0.09365524
2024-02-21,19.307869517458776,8.024063382865508,10.68421052631579,1.333,-3.0,0.16457829,0.08973082,0.0097593125,0.099490136
2024-02-22,18.110738483813005,9.575956311227497,10.989473684210527,1.667,-14.0,0.17033824,0.09659644,0.011393129,0.10798957
2024-02-23,35.74692797213703,18.429185579270435,10.705263157894738,1.333,-1.0,0.18817651,0.11137807,0.0132656535,0.12464373
2024-02-24,11.702262407334436,7.684075676389289,9.978947368421053,2.333,-13.0,0.18744035,0.110046595,0.012940849,0.12298745
2024-02-25,18.69894990132008,9.611358215688378,9.989473684210527,3.0,-27.0,0.1787258,0.09958921,0.011179781,0.11076899
