data,h_media_km,h_topo_km,col_fumaca
2024-09-01,2.039799213409424,5.512626647949219,0.00014526340237352997
2024-09-02,2.0427658557891846,5.414050102233887,0.0001554573973407969
2024-09-03,2.0792176723480225,5.5954155921936035,0.00017339950136374682
2024-09-04,2.1266090869903564,5.9592814445495605,0.00018082612950820476
2024-09-05,1.9860719442367554,4.980992794036865,0.00018918499699793756
2024-09-06,1.8791977167129517,4.6634039878845215,0.000205725766136311
2024-09-07,2.044712781906128,5.437292098999023,0.0001996843930101022
2024-09-08,2.2279632091522217,6.158971309661865,0.00019869675452355295
2024-09-09,2.121786117553711,5.776552200317383,0.00019641594553831965
2024-09-10,2.044478416442871,5.356607913970947,0.00019082470680586994
2024-09-11,2.1500742435455322,5.888241767883301,0.00018190997070632875
2024-09-12,2.190337896347046,6.051621913909912,0.00016165166744031012
2024-09-13,2.2032992839813232,5.776463031768799,0.00014587183250114322
2024-09-14,2.284748077392578,5.823597431182861,0.00015154686116147786
2024-09-15,2.413344144821167,6.362802505493164,0.00015841415734030306
2024-09-16,2.3698832988739014,6.484222888946533,0.00016130377480294555
2024-09-17,2.224343776702881,5.86191463470459,0.00018100008310284466
2024-09-18,2.310227632522583,5.845592498779297,0.0001965801347978413
2024-09-19,2.378411054611206,6.419559001922607,0.00015317574434448034
2024-09-20,2.327204704284668,6.650617599487305,0.00012229396088514477
2024-09-21,2.3025667667388916,6.427274227142334,0.00012587025412358344
2024-09-22,2.20670485496521,5.9894256591796875,0.00013864490028936416
2024-09-23,2.247448205947876,5.845300197601318,0.00016025180229917169
2024-09-24,2.3025929927825928,5.954450607299805,0.00014808883133810014
2024-09-25,2.2802844047546387,5.9342803955078125,0.0001307060447288677
2024-09-26,2.366011619567871,6.556361675262451,0.00011843944957945496
2024-09-27,2.3496618270874023,6.656490802764893,0.00011208051728317514
2024-09-28,2.230132818222046,6.703798294067383,0.00011472057667560875
2024-09-29,2.2900259494781494,7.095687389373779,9.737593791214749e-05
2024-09-30,2.5052809715270996,7.644310474395752,7.246938184835017e-05
