pulso,quando,celula,clat,clon,area_pix,tbmin,nflash,eletrificada,dir,de_dia
P1,2024-05-02 1200UT,C30,-27.863,-46.894,154,-55.5,0,0,,1
P1,2024-05-02 1300UT,C29,-30.051,-50.512,108726,-79.7,3,0,"-0.09,+0.07",1
P1,2024-05-02 1300UT,C30,-27.713,-46.237,567,-55.4,0,0,"+0.15,+0.66",1
P1,2024-05-02 1400UT,C29,-30.039,-50.392,108519,-80.3,0,0,"+0.01,+0.12",1
P1,2024-05-02 1400UT,C30,-27.68,-46.711,258,-57.6,0,0,"+0.03,-0.47",1
P1,2024-05-02 1500UT,C31,-25.826,-59.964,871,-63.8,0,0,,1
P1,2024-05-02 1500UT,C29,-30.043,-50.58,105374,-78.6,0,0,"-0.00,-0.19",1
P1,2024-05-02 1500UT,C32,-27.358,-48.93,144,-56.5,1,0,,1
P1,2024-05-02 1500UT,C33,-33.858,-48.48,155,-55.6,0,0,,1
P1,2024-05-02 1600UT,C34,-24.784,-58.567,219,-63.8,0,0,,1
P1,2024-05-02 1600UT,C29,-29.83,-51.137,95333,-76.6,0,0,"+0.21,-0.56",1
P1,2024-05-02 1600UT,C35,-26.323,-57.213,109,-64.2,106,1,,1
P1,2024-05-02 1600UT,C36,-26.888,-51.345,461,-72.6,10,1,,1
P1,2024-05-02 1600UT,C37,-27.091,-46.614,127,-57.4,0,0,,1
P1,2024-05-02 1600UT,C32,-27.223,-48.275,84,-67.1,38,1,"+0.14,+0.66",1
P1,2024-05-02 1600UT,C38,-28.94,-46.199,2745,-58.3,0,0,,1
P1,2024-05-02 1700UT,C34,-24.996,-58.162,1241,-72.0,0,0,"-0.21,+0.41",1
P1,2024-05-02 1700UT,C29,-29.288,-51.649,88137,-83.3,1,0,"+0.54,-0.51",1
P1,2024-05-02 1700UT,C35,-25.991,-57.439,458,-67.4,19,1,"+0.33,-0.23",1
P1,2024-05-02 1700UT,C39,-26.281,-57.518,105,-70.3,23,1,,1
P1,2024-05-02 1700UT,C32,-26.789,-48.068,202,-61.2,62,1,"+0.43,+0.21",1
P1,2024-05-02 1700UT,C40,-35.27,-44.031,2603,-61.6,0,0,,1
P1,2024-05-02 1800UT,C34,-25.195,-57.621,3213,-77.3,0,0,"-0.20,+0.54",1
P1,2024-05-02 1800UT,C29,-29.229,-51.62,88252,-80.0,16,1,"+0.06,+0.03",1
P1,2024-05-02 1800UT,C40,-35.484,-43.034,1048,-55.6,0,0,"-0.21,+1.00",1
P1,2024-05-02 1900UT,C34,-24.709,-58.953,125,-57.3,0,0,"+0.49,-1.33",1
P1,2024-05-02 1900UT,C29,-28.862,-52.022,83459,-77.7,0,0,"+0.37,-0.40",1
P1,2024-05-02 1900UT,C41,-26.24,-59.001,126,-60.9,0,0,,1
P1,2024-05-02 2000UT,C29,-28.563,-52.099,74948,-78.9,0,0,"+0.30,-0.08",0
P1,2024-05-02 2000UT,C42,-24.773,-57.305,232,-62.2,0,0,,0
P1,2024-05-02 2000UT,C43,-26.098,-51.87,97,-58.7,9,1,,0
P1,2024-05-02 2000UT,C41,-26.5,-58.847,322,-57.4,0,0,"-0.26,+0.15",0
P1,2024-05-02 2000UT,C44,-26.762,-58.087,428,-58.6,0,0,,0
P1,2024-05-02 2100UT,C29,-28.085,-52.902,62958,-77.6,0,0,"+0.48,-0.80",0
P1,2024-05-02 2200UT,C29,-28.008,-52.841,61243,-77.0,0,0,"+0.08,+0.06",0
P1,2024-05-02 2300UT,C29,-27.876,-52.773,61718,-77.5,0,0,"+0.13,+0.07",0
