T_bin,refl39_med,re_proxy_med,celula,metade,quando,n,valido_re,onda
-30.0,0.0971114757878446,5.009173598941201,C1,frente,2024-05-06 1200UT,7,1,O2_surto_06-08mai
-60.0,0.042989368945205934,5.834226750537571,C1,traseira,2024-05-06 1200UT,65,1,O2_surto_06-08mai
-55.0,0.030465645734470144,7.368825442392296,C1,traseira,2024-05-06 1200UT,128,1,O2_surto_06-08mai
-50.0,0.028130638517205965,7.877660118955264,C1,traseira,2024-05-06 1200UT,155,1,O2_surto_06-08mai
-45.0,0.026575818282592836,8.275746749180708,C1,traseira,2024-05-06 1200UT,133,1,O2_surto_06-08mai
-40.0,0.033220805237436674,6.883031877742164,C1,traseira,2024-05-06 1200UT,42,1,O2_surto_06-08mai
-35.0,0.039245328339494207,6.144734217241213,C1,traseira,2024-05-06 1200UT,24,1,O2_surto_06-08mai
-30.0,0.05279160657285559,5.370322723595772,C1,traseira,2024-05-06 1200UT,12,1,O2_surto_06-08mai
-25.0,0.06721548070997702,5.110792889878173,C1,traseira,2024-05-06 1200UT,13,1,O2_surto_06-08mai
-60.0,0.06363714694274034,5.1492931520058685,C10,frente,2024-05-06 1200UT,30,1,O2_surto_06-08mai
-55.0,0.04983294409524607,5.471635914042528,C10,frente,2024-05-06 1200UT,241,1,O2_surto_06-08mai
-50.0,0.03947802561736401,6.117799380398074,C10,frente,2024-05-06 1200UT,77,1,O2_surto_06-08mai
-45.0,0.03649312454161882,6.43349021850136,C10,frente,2024-05-06 1200UT,32,1,O2_surto_06-08mai
-40.0,0.04666779401338345,5.614056756521337,C10,frente,2024-05-06 1200UT,26,1,O2_surto_06-08mai
-60.0,0.06105828454509281,5.185075209793254,C10,traseira,2024-05-06 1200UT,29,1,O2_surto_06-08mai
-55.0,0.044112706751406765,5.7596773203949425,C10,traseira,2024-05-06 1200UT,301,1,O2_surto_06-08mai
-50.0,0.03237758556309562,7.019934908525224,C10,traseira,2024-05-06 1200UT,210,1,O2_surto_06-08mai
-45.0,0.03254573056550715,6.991832962212518,C10,traseira,2024-05-06 1200UT,48,1,O2_surto_06-08mai
-60.0,0.023206266190812928,9.337689641762722,C9,frente,2024-05-06 1200UT,15,1,O2_surto_06-08mai
-55.0,0.023682445367944588,9.169164733779937,C9,frente,2024-05-06 1200UT,64,1,O2_surto_06-08mai
-60.0,0.02796544257618288,7.917624942096,C9,traseira,2024-05-06 1200UT,18,1,O2_surto_06-08mai
-55.0,0.02741691401019527,8.054007148453563,C9,traseira,2024-05-06 1200UT,111,1,O2_surto_06-08mai
-50.0,0.027872530270964306,7.940226225233017,C9,traseira,2024-05-06 1200UT,13,1,O2_surto_06-08mai
-60.0,0.02337686424105514,9.276460409151628,C11,inteira,2024-05-06 1200UT,72,1,O2_surto_06-08mai
-55.0,0.024586192670980313,8.866493848846565,C11,inteira,2024-05-06 1200UT,616,1,O2_surto_06-08mai
-50.0,0.02968972880641251,7.527051768791393,C11,inteira,2024-05-06 1200UT,97,1,O2_surto_06-08mai
-60.0,0.028938351018630504,7.690341480846611,C12,inteira,2024-05-06 1200UT,71,1,O2_surto_06-08mai
-55.0,0.027805998654816845,7.956572999296748,C12,inteira,2024-05-06 1200UT,1361,1,O2_surto_06-08mai
-50.0,0.026135498819671234,8.398177501631151,C12,inteira,2024-05-06 1200UT,236,1,O2_surto_06-08mai
-45.0,0.023416322253475595,9.262420510499249,C12,inteira,2024-05-06 1200UT,13,1,O2_surto_06-08mai
-60.0,0.07468956030518628,5.059497778815183,C13,inteira,2024-05-06 1200UT,48,1,O2_surto_06-08mai
-55.0,0.05280629587798078,5.36812700619102,C13,inteira,2024-05-06 1200UT,377,1,O2_surto_06-08mai
-50.0,0.05671873047225041,5.2657063981116305,C13,inteira,2024-05-06 1200UT,270,1,O2_surto_06-08mai
-45.0,0.0552523451863237,5.300242524115445,C13,inteira,2024-05-06 1200UT,31,1,O2_surto_06-08mai
-65.0,0.020216506703475558,10.564952725405321,C9,frente,2024-05-06 1300UT,2429,1,O2_surto_06-08mai
-60.0,0.022591907589528292,9.565547395379507,C9,frente,2024-05-06 1300UT,7790,1,O2_surto_06-08mai
-55.0,0.024349783075113034,8.94342168957603,C9,frente,2024-05-06 1300UT,4522,1,O2_surto_06-08mai
