datetime,Jx_muA_m2,Jy_muA_m2,Jz_pA_m2,J_horiz_mag,n_stations_active
2024-01-01 00:00:00,-0.0006620057101586037,0.0015818133189711195,-2.099066132449726,0.0017147550659954401,10
2024-01-01 00:15:00,-0.0005400507815922524,0.0013224195763604208,-2.0294070892450615,0.0014284426424045445,10
2024-01-01 00:30:00,-0.0005637069017001465,0.001078523831664018,-1.9139042411924267,0.0012169548580336141,10
2024-01-01 00:45:00,-0.0008107175759819624,0.0011678075158059965,-1.9811260773662136,0.0014216319432184415,10
2024-01-01 01:00:00,-0.0009969001118985239,0.0012062520515950929,-2.0338689413667392,0.0015648814156608353,10
2024-01-01 01:15:00,-0.0008211820423236907,0.000937917876361271,-1.7382369337692969,0.0012466073517483137,10
2024-01-01 01:30:00,-0.0006860122287135356,0.0005786283870870045,-1.2784980739142662,0.00089745394772513,10
2024-01-01 01:45:00,-0.0006991695833573646,0.0003424426284255149,-0.5988520777296715,0.0007785274947329003,10
2024-01-01 02:00:00,-0.0007312179628570221,0.00025973319747239944,-0.3535482623505611,0.0007759774758805889,10
2024-01-01 02:15:00,-0.0005890070544545087,0.00011751537222166891,-0.26458623280803356,0.0006006156615553527,10
2024-01-01 02:30:00,-0.00029091198586953914,2.8060946415646394e-06,-0.10651228744850298,0.00029092551914484293,10
2024-01-01 02:45:00,-0.000612232556634808,0.00023512934308870265,0.7103498379836871,0.00065583116073035,10
2024-01-01 03:00:00,-0.0006158903645500592,0.00037650364136583683,0.6954117166023606,0.0007218558949730476,10
2024-01-01 03:15:00,-0.0004174993032848532,0.0002966588503898472,0.43482220502544733,0.0005121641746139255,10
2024-01-01 03:30:00,-0.00027649294414150156,0.0003688403946960629,0.2565645629961245,0.0004609680953380428,10
2024-01-01 03:45:00,-0.00021837219074719044,0.00025144536961068184,0.044692082262002046,0.0003330333130339662,10
2024-01-01 04:00:00,-0.00019537702493652582,0.0004312563063222778,-0.21775940346013567,0.0004734492408017803,10
2024-01-01 04:15:00,-0.0002142896884986336,0.00033337562425819414,-0.533842765521142,0.00039630717561808294,10
2024-01-01 04:30:00,-8.180900418471447e-05,0.000246154199458109,-0.6733723364067414,0.00025939275833484083,10
2024-01-01 04:45:00,7.786349534349368e-05,9.778559101797573e-05,-0.8347953004288937,0.00012499898286722608,10
2024-01-01 05:00:00,0.00026253660305632955,-0.00010957431650104834,-0.8581415760129975,0.00028448549836683886,10
2024-01-01 05:15:00,0.00010732831387947013,-0.00014854376996436866,-0.5492133732497609,0.0001832610666656651,10
2024-01-01 05:30:00,8.41538486242901e-05,-2.6486359620462847e-05,-0.35123015373378114,8.822356535656682e-05,10
2024-01-01 05:45:00,0.0001257580084593668,-0.00023418438460318967,-0.15328589308373516,0.00026581460208882586,10
2024-01-01 06:00:00,0.00012560701307354026,-0.0003225177173773335,-0.04381417921944917,0.00034611385374691675,10
2024-01-01 06:15:00,-0.00012406646962458517,-0.0003176284707141239,0.39540475505860817,0.0003409990238890739,10
2024-01-01 06:30:00,-0.0002664482783799887,-0.00027449636327771465,0.8064823375004339,0.00038254795582299357,10
2024-01-01 06:45:00,-0.00022681172361089426,-0.000273366717120595,0.8536233741024473,0.0003552082769258567,10
2024-01-01 07:00:00,-3.899553751010607e-05,-0.0006628627025562973,0.8987994873105324,0.0006640087457149494,10
2024-01-01 07:15:00,0.00016759985769334112,-0.000723017345526766,0.9636234279854483,0.0007421885166394042,10
2024-01-01 07:30:00,0.00014129269095751782,-0.0007576612897476123,1.1924679002554797,0.0007707232022587824,10
2024-01-01 07:45:00,0.00037302302144775096,-0.0007714710381822571,1.0497626316300779,0.0008569210799624543,10
2024-01-01 08:00:00,0.0007121490894936209,-0.0008816748290979567,1.21160455287813,0.0011333608560081402,10
2024-01-01 08:15:00,0.001024997501271072,-0.0009586405936088875,1.643265754072209,0.001403428539444293,10
2024-01-01 08:30:00,0.001218576629697021,-0.000776138582606881,1.942891655037258,0.0014447560700183157,10
2024-01-01 08:45:00,0.0012986267193479033,-0.0005738568668731273,1.817686184637698,0.0014197686642061587,10
2024-01-01 09:00:00,0.0012465692994153318,-7.044063345569043e-05,2.05975893219629,0.0012485579286066267,10
2024-01-01 09:15:00,0.0015558561613135558,-0.0006162908051045878,1.3627928653861288,0.0016734702719659572,10
2024-01-01 09:30:00,0.0015700554542799523,-0.000679133376777479,1.107797712292084,0.0017106420645381687,10
2024-01-01 09:45:00,0.0018570640559973795,-0.0005071339583267548,0.4833447410045259,0.001925064092378641,10
2024-01-01 10:00:00,0.0017674253515575838,-0.0010018528986131903,0.28138955235694946,0.0020316253600967133,10
2024-01-01 10:15:00,0.0017366378765070391,-0.001138205020503115,0.6307683018321928,0.0020763963453101567,10
2024-01-01 10:30:00,0.0015998350454621635,-0.0010053679025842713,0.7714847596689709,0.0018895070236004997,10
2024-01-01 10:45:00,0.0013828472529409817,-0.0004616222971881314,0.7678842271022539,0.0014578620202981033,10
2024-01-01 11:00:00,0.0011954168594866038,-0.0006424466746615807,0.6169885246172665,0.0013571142905918195,10
2024-01-01 11:15:00,0.0008368562695581836,-4.4149165638133926e-05,0.2303947606952707,0.0008380200264464941,10
2024-01-01 11:30:00,0.0013734224075833907,-5.446108020561805e-07,0.2804627244525802,0.0013734225155621568,10
2024-01-01 11:45:00,0.0015619608579185065,0.0006299262475506612,-0.6091753245357624,0.0016841997503333071,10
2024-01-01 12:00:00,0.0016484866724523354,0.0015457614402119226,-1.714824314457069,0.002259842193450465,9
2024-01-01 12:15:00,0.002191001681818503,0.001235896705946669,-4.132765784501547,0.002515537524566337,10
2024-01-01 12:30:00,0.0028812236978755694,0.0003094809863179557,-7.02444390455971,0.0028977971768383145,10
2024-01-01 12:45:00,0.0027660347989378483,0.0009000442112330004,-10.112418028901175,0.002908784641583006,10
2024-01-01 13:00:00,0.0027170424877535813,0.001209075779249159,-12.705654578421031,0.0029739173021832888,10
2024-01-01 13:15:00,0.0031227012765818137,0.0013444647615822064,-15.399333953109148,0.003399830695476172,10
2024-01-01 13:30:00,0.003136005119508737,0.0010962963180692045,-17.923730276560995,0.0033221068204675633,10
2024-01-01 13:45:00,0.0027875552662947516,0.001132742051548472,-19.905017368639776,0.00300891490707096,10
2024-01-01 14:00:00,0.001916982965522861,0.0016742625429518627,-21.08274221183195,0.002545187370870062,10
2024-01-01 14:15:00,0.0013267440259905772,0.002258489240023547,-21.761756856685093,0.002619355523369026,10
2024-01-01 14:30:00,0.0010494793717944905,0.002874374868500235,-21.607281530346082,0.003059973502579377,10
2024-01-01 14:45:00,0.0004456065388443464,0.003728381961416264,-21.822490845768417,0.0037549164088798337,10
2024-01-01 15:00:00,-0.00023134579463746858,0.00469058209116929,-22.762719528110082,0.004696283768118629,10
2024-01-01 15:15:00,-0.0006474490209271143,0.004964076875942791,-22.91567898495091,0.005006121199588502,10
2024-01-01 15:30:00,-0.0003764027679565006,0.005112979511955384,-22.776957029110648,0.005126815632866159,10
2024-01-01 15:45:00,-0.0005284227504763429,0.005683350558455004,-22.87606372564992,0.0057078633632482645,10
2024-01-01 16:00:00,-0.0005520649625102318,0.005815144436454076,-23.094276616757536,0.005841290999398526,10
2024-01-01 16:15:00,-0.0005974063209782839,0.005764173592316982,-22.864387411620612,0.005795048879406391,10
2024-01-01 16:30:00,-0.00010198634853363191,0.005545260125483325,-22.368408603427966,0.005546197893562991,10
2024-01-01 16:45:00,0.0005507260927538545,0.005276742158737747,-21.851187556443286,0.005305403569855947,10
2024-01-01 17:00:00,0.0009032529822537232,0.004390495868903039,-20.89639637177927,0.004482445752578039,10
2024-01-01 17:15:00,0.000709199865885991,0.003258298148416495,-20.5935985664513,0.0033345871219308495,10
2024-01-01 17:30:00,3.8681055333491916e-05,0.002123226051558311,-18.826837992345244,0.002123578369181983,10
